original_path,target_path,category,subcategory,extension,size_bytes,migrated_at,verified
"/Users/nevillemehta/Downloads/02_CIA-SIE-PURE/00_GOVERNANCE/CIA_SIE_PURE_GOLD_STANDARD_CONFORMANCE_CHART_2026-01-30_000006.md","/Users/nevillemehta/Downloads/02_CIA-SIE-PURE_REHYDRATED/GOVERNANCE/04_Standards/CIA_SIE_PURE_GOLD_STANDARD_CONFORMANCE_CHART_2026-01-30_000006.md","GOVERNANCE","04_Standards","md",20301,"2026-01-31T08:52:26Z","true"
"/Users/nevillemehta/Downloads/02_CIA-SIE-PURE/00_GOVERNANCE/CIA_SIE_PURE_FAILURE_TAXONOMY_2026-01-30_0854PM.md","/Users/nevillemehta/Downloads/02_CIA-SIE-PURE_REHYDRATED/GOVERNANCE/04_Standards/CIA_SIE_PURE_FAILURE_TAXONOMY_2026-01-30_0854PM.md","GOVERNANCE","04_Standards","md",9010,"2026-01-31T08:52:26Z","true"
"/Users/nevillemehta/Downloads/02_CIA-SIE-PURE/00_GOVERNANCE/CIA_SIE_PURE_STATE_TRANSITION_AUTHORITY_TABLE_2026-01-29.md","/Users/nevillemehta/Downloads/02_CIA-SIE-PURE_REHYDRATED/GOVERNANCE/05_Frameworks/CIA_SIE_PURE_STATE_TRANSITION_AUTHORITY_TABLE_2026-01-29.md","GOVERNANCE","05_Frameworks","md",9441,"2026-01-31T08:52:26Z","true"
"/Users/nevillemehta/Downloads/02_CIA-SIE-PURE/00_GOVERNANCE/CIA_SIE_PURE_INDEPENDENT_CERTIFICATION_REPORT_2026-01-30_0854PM.md","/Users/nevillemehta/Downloads/02_CIA-SIE-PURE_REHYDRATED/DOCUMENTATION/Technical/CIA_SIE_PURE_INDEPENDENT_CERTIFICATION_REPORT_2026-01-30_0854PM.md","DOCUMENTATION","Technical","md",6397,"2026-01-31T08:52:26Z","true"
"/Users/nevillemehta/Downloads/02_CIA-SIE-PURE/00_GOVERNANCE/CIA_SIE_PURE_DETERMINISM_AND_REPEATABILITY_REPORT_2026-01-30_0854PM.md","/Users/nevillemehta/Downloads/02_CIA-SIE-PURE_REHYDRATED/DOCUMENTATION/Technical/CIA_SIE_PURE_DETERMINISM_AND_REPEATABILITY_REPORT_2026-01-30_0854PM.md","DOCUMENTATION","Technical","md",4967,"2026-01-31T08:52:26Z","true"
"/Users/nevillemehta/Downloads/02_CIA-SIE-PURE/00_GOVERNANCE/CIA_SIE_PURE_READINESS_SCORECARD_2026-01-30_0854PM.md","/Users/nevillemehta/Downloads/02_CIA-SIE-PURE_REHYDRATED/DOCUMENTATION/Technical/CIA_SIE_PURE_READINESS_SCORECARD_2026-01-30_0854PM.md","DOCUMENTATION","Technical","md",7644,"2026-01-31T08:52:26Z","true"
"/Users/nevillemehta/Downloads/02_CIA-SIE-PURE/00_GOVERNANCE/CIA_SIE_PURE_TEST_EXECUTION_REPORT_23-19-06.md","/Users/nevillemehta/Downloads/02_CIA-SIE-PURE_REHYDRATED/DOCUMENTATION/Technical/CIA_SIE_PURE_TEST_EXECUTION_REPORT_23-19-06.md","DOCUMENTATION","Technical","md",3524,"2026-01-31T08:52:26Z","true"
"/Users/nevillemehta/Downloads/02_CIA-SIE-PURE/00_MASTER_DOCUMENTS/MASTER_SYNTHESIS_CIA-SIE_ECOSYSTEM.md","/Users/nevillemehta/Downloads/02_CIA-SIE-PURE_REHYDRATED/GOVERNANCE/01_Directives/MASTER_SYNTHESIS_CIA-SIE_ECOSYSTEM.md","GOVERNANCE","01_Directives","md",17646,"2026-01-31T08:52:26Z","true"
"/Users/nevillemehta/Downloads/02_CIA-SIE-PURE/00_MASTER_DOCUMENTS/MASTER_FOUNDATIONAL_DOCUMENT.md","/Users/nevillemehta/Downloads/02_CIA-SIE-PURE_REHYDRATED/GOVERNANCE/02_Principles/MASTER_FOUNDATIONAL_DOCUMENT.md","GOVERNANCE","02_Principles","md",29826,"2026-01-31T08:52:26Z","true"
"/Users/nevillemehta/Downloads/02_CIA-SIE-PURE/00_MASTER_DOCUMENTS/BACKEND_RECONSTRUCTION_BLUEPRINT.md","/Users/nevillemehta/Downloads/02_CIA-SIE-PURE_REHYDRATED/GOVERNANCE/05_Frameworks/BACKEND_RECONSTRUCTION_BLUEPRINT.md","GOVERNANCE","05_Frameworks","md",22117,"2026-01-31T08:52:26Z","true"
